seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
960402.0,3.0,104.82168566166666,0.91,0.147,0.102,0.099,0.58,0.36,0.42,0.22
402651.0,3.0,105.13295983499998,0.92,0.181,0.1,0.083,0.55,0.36,0.23,0.4
566046.0,3.0,103.01452177833335,0.92,0.155,0.102,0.083,0.62,0.3,0.38,0.32
431551.0,3.0,102.26002793666666,0.9,0.235,0.091,0.094,0.56,0.4,0.35,0.25
328859.0,3.0,102.42651666833332,0.91,0.169,0.109,0.105,0.6,0.27,0.56,0.17
971615.0,3.0,103.31621379499998,0.92,0.19,0.092,0.088,0.58,0.21,0.33,0.46
755473.0,3.0,103.952066635,0.93,0.143,0.103,0.102,0.59,0.37,0.2,0.44
410554.0,3.0,102.85180259500001,0.9,0.155,0.134,0.126,0.55,0.32,0.51,0.17
944161.0,3.0,106.04599056333332,0.95,0.142,0.08,0.078,0.59,0.66,0.21,0.13
