seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
147836.0,9.0,384.5316666666667,0.99,0.082,0.013,0.008,1.0,0.39,0.32,0.28
382345.0,9.0,385.79,1.0,0.082,0.01,0.002,1.0,0.38,0.37,0.25
675121.0,9.0,384.2783333333333,0.99,0.079,0.019,0.008,1.0,0.51,0.24,0.25
729256.0,9.0,385.70866666666666,0.99,0.062,0.024,0.011,1.0,0.54,0.29,0.16
344253.0,9.0,383.264,0.99,0.078,0.018,0.017,1.0,0.37,0.37,0.26
110711.0,9.0,385.659,1.0,0.075,0.016,0.004,1.0,0.51,0.27,0.22
572671.0,9.0,384.33133333333336,0.99,0.075,0.02,0.01,1.0,0.46,0.26,0.27
916040.0,9.0,384.2993333333333,1.0,0.085,0.014,0.005,1.0,0.48,0.3,0.22
320804.0,9.0,385.629,1.0,0.073,0.016,0.005,1.0,0.51,0.28,0.2
10711.0,9.0,385.13866666666667,0.99,0.069,0.022,0.01,1.0,0.49,0.32,0.2
653406.0,9.0,384.5926666666667,0.99,0.067,0.022,0.014,1.0,0.43,0.38,0.19
394997.0,9.0,385.4483333333333,0.99,0.065,0.025,0.007,1.0,0.45,0.31,0.24
886547.0,9.0,384.932,0.99,0.076,0.014,0.011,1.0,0.49,0.28,0.23
207987.0,9.0,386.08666666666664,1.0,0.071,0.016,0.005,1.0,0.36,0.31,0.33
413834.0,9.0,384.21566666666666,1.0,0.073,0.028,0.004,1.0,0.45,0.28,0.27
997686.0,9.0,384.70166666666665,0.99,0.073,0.019,0.01,1.0,0.28,0.42,0.3
