"alpha","beta","mu_s","mu_i","mu_a","sd","beta_2","tau","r0","r1","lM0mu_s","lM0mu_i","lM0mu_a","lM1mu_s","lM1mu_i","lM1mu_a","sd_lM","lMwmu_s","lMwmu_i","lMwmu_a","irphi","p0","p1","sz","rsz","bankfull_s","bankfull_i","bankfull_a","lA0_perpool","AtQ_perpool","alpha0_int","alpha1_int","alpha0_max","alpha1_max","lsl_width_s","lsl_width_i","lsl_width_a","dth"
910.538449884199,5.72321039917062,12.0168470467804,11.5844458401774,10.7861151360251,1.89744643325853,1.89454815466358,0.0524266190151421,0.0393580764176117,0.245493946717868,-5.66736135531411,-4.13488431254317,-4.86716441382071,-4.10640419972403,-5.08576421679234,-4.90759232306258,0.480375254671803,-6.4150277312796,-5.06751309249951,-4.78461380650068,0.222372771493331,0.652516090946742,0.472043522657986,0.3210288659643,0.39229542562989,154.852224678085,62.3974627095478,79.0174536786076,0.0508276882996163,-4.06601590157316,35.8055951324216,23.4127749534039,11.9295291967367,22.1163133125463,6.85277764612843,6.67362005665367,6.26790125493522,55.6966611981427
603.311402487704,10.8082583190666,12.7060254948933,12.4615634515176,9.74912159066941,1.60041257049858,1.96861381340159,0.0582291821667577,0.0305610307988362,0.241670790728626,-5.73342545342515,-4.59017713503457,-4.37107632360316,-4.31738622878354,-4.92841717663682,-4.52116737435757,0.538233634664012,-7.48234358601756,-4.91559466323291,-5.30163173319901,0.198556246734849,0.396303907969106,0.387256209133793,0.323955124916032,0.365384334889743,158.436209437755,65.7113706214871,79.6250821183533,0.0483706307107859,-4.9033423352833,83.2156229715034,25.0966457975434,9.13564890096351,29.8572490154757,6.83102124276143,6.44484094311724,6.27083373396047,61.4422076331234
519.72917050461,8.85804232237149,11.867525255488,13.048125615428,10.1383641676094,1.60606864004453,2.06397896384817,0.0651004755963485,0.0379161945149014,0.228967727681695,-6.44423491573209,-3.65575672265989,-4.88602356406544,-4.18363843645501,-4.49253578660322,-4.74699851804827,0.357774369747365,-6.50704034245978,-6.48473316480667,-4.93811441506363,0.117399563174325,0.566035321209303,0.502057750594702,0.321391308518452,0.36425742039318,157.689544531291,60.2071707710639,80.7302605599294,0.0492887619479985,-4.30739037600792,58.2741633609231,23.3255196814255,9.7505674683688,19.1461526519809,6.83361731052928,6.76977113829669,6.26830890528537,72.2245255724944
904.720072007313,8.29104223007971,12.4649587893598,13.2611152207228,9.99137884486205,1.38535720715914,1.7929081060094,0.110063215131311,0.0280689144814929,0.427116970214702,-4.81440602171364,-3.94043746424738,-4.74421905249702,-3.83117163645018,-4.57403769101728,-4.38774184377897,0.42436541726504,-6.50170363626798,-5.01333167648032,-5.72732489512752,0.140498712676506,0.398008959332325,0.710013139789004,0.322577395095465,0.362886928189093,154.538951852252,63.952471810541,77.9834030100335,0.0345040474755536,-2.90469510063228,85.0434961965416,16.8652999131532,9.23387366190296,29.3915287851688,6.85818827645738,6.69878014080137,6.30063753832975,49.9507011020466
652.694604780457,9.0496566985156,12.239522015174,12.8943798146192,10.428358982436,1.43700586519264,2.05485938666636,0.0471989644885725,0.026337951172635,0.299037582295323,-5.13121258509622,-4.28436185130992,-4.43841703025619,-4.13674739101214,-4.9976602365181,-4.89729050952833,0.433439299115544,-6.4801288375029,-5.29943065999499,-5.16097244570549,0.162303788619103,0.483841898254595,0.511144590124492,0.300554330296145,0.42980712162642,158.145327023651,61.6121643859597,81.3279679938839,0.0448395813169177,-3.45983369267753,79.2657841945781,19.0040087161774,7.14658459897382,36.4571395729091,6.81724676117727,6.67119054904964,6.21315463266216,65.4897157047282
726.134449987367,10.6448211376901,12.067784690679,12.7647849856618,10.1256412287722,1.70246222268332,1.96712746198412,0.0761260578034866,0.0445053770881575,0.376506810696132,-5.16776999821996,-3.8944991119666,-4.87439797282722,-4.22320722681658,-5.21817670339767,-4.52900979341103,0.591405923931921,-6.14233585886487,-5.08194787083704,-4.60772458408556,0.147923512522447,0.540801441651315,0.618930375759806,0.292498206559628,0.407598971026998,156.102078258856,60.7341364417241,80.7479308444964,0.0300607527719266,-2.20186159558566,95.2980141735233,25.0193472429221,5.70744293711122,31.8963439087251,6.8350628170192,6.60598639294041,6.19766780559529,75.9435838683028
845.975950987412,8.59411085435426,12.1211592251379,13.2445543042309,9.8144165678921,1.3124698375749,2.07196687066521,0.0543976918813327,0.036159140032829,0.249907907841309,-5.48687091973613,-4.34103874286573,-4.38303415542527,-4.20921048701968,-4.71466582296401,-4.70352012986741,0.388986982927504,-7.49888598672147,-5.22565979483165,-5.23087272478304,0.116363885979618,0.554433027114234,0.634798816237478,0.303494707864636,0.318059674260231,156.800793859976,70.2518459772657,78.7724940777991,0.0455197951844994,-3.94370494824616,67.0802873482504,20.6873423089443,9.62651407926878,13.2589461466731,6.84518067813108,6.59670745144481,6.30053921570078,77.0965675900109
631.495918238185,9.20853705289447,12.6369987151072,12.9201276218345,10.4792336251763,1.67454065916183,1.95473546624306,0.0509437959177065,0.0220734980772941,0.25794765007751,-5.8194368541485,-3.78849074831258,-4.62396702426703,-3.93798211540717,-4.449547072808,-4.59122816695847,0.347370548336146,-7.01816457270661,-5.14711146564966,-4.93272140630569,0.123428057680954,0.445282396326973,0.491479091878698,0.293787720813513,0.411921227109861,156.293049714328,64.4912571032009,79.2188882089409,0.0439091468853793,-3.94728038840864,83.3595622278836,24.9847939394967,10.5018800481331,19.4800007501931,6.84204926899161,6.59319917850062,6.25910644853673,71.0352576771521
634.294610419336,8.32807228324917,12.5218675031824,12.8345439774851,9.26317865078194,1.35662375291501,2.10816319767792,0.059244196904774,0.0603708727803714,0.578348083507279,-4.99013359680346,-4.20591249722723,-4.48258825085126,-4.06410920173431,-4.8239670849151,-4.69563587878137,0.485613516457853,-7.03554774658827,-5.2971035210767,-4.87977841873489,0.0866097504124424,0.618130023695583,0.92939528908085,0.316654214800994,0.324546593747171,155.570631503513,72.8623182979387,78.234712319306,0.0348281554824849,-2.94754707454327,78.0730693518411,17.6814059672745,9.44053895977698,21.8895329240691,6.83779134758898,6.48637871774597,6.29114646705583,57.7950249236967
425.584533859538,8.26868428437295,12.9205682353046,13.2493461237907,11.2767562142624,1.52311389434265,1.95633328664982,0.0726626628122325,0.0211452579242705,0.203120125459127,-4.84887550788631,-4.14580512074857,-4.56759720956599,-4.05000334407053,-4.62686433138359,-5.01835261037532,0.413417433330816,-6.84939791532362,-5.91390842009378,-4.51964368656926,0.160100408109813,0.307049634934852,0.627083683129582,0.292974929850837,0.381208923199883,156.053656357674,66.2250168964806,77.1596890855806,0.0440787337551909,-3.46211695471549,55.220247312053,18.0271935689413,14.920020249816,26.1508283877997,6.83156264939132,6.60062840468462,6.33687812108295,59.1119689802391
760.801860314215,10.5183035396035,12.9879998359115,12.3526395433579,9.65936882525867,1.26739215888885,1.89282532296393,0.0654799209250236,0.0227688527364098,0.28485043269279,-5.00292737777618,-4.17635972466056,-4.20413601121785,-3.87368595068331,-4.93843499318162,-5.38169004397624,0.489051382035087,-6.74652575954343,-5.39221808327577,-4.93250132036219,0.172601474311806,0.454621490034369,0.560777384641722,0.324021398341559,0.453409800476268,157.18263716063,71.0826486390089,78.5700679742346,0.0471939472159027,-3.55328356209444,64.9033320511761,17.8878525172241,10.7378785582678,31.3985940813546,6.83617920752953,6.509065298761,6.30316568295131,60.1890532728358
889.409270529307,10.2888228162339,12.1141660299826,13.2090479917901,9.7804676797033,1.72302410683223,1.89055870206933,0.0460383598827876,0.0269083835575331,0.41232506845615,-5.46250578600413,-4.04360666250171,-5.34622998879789,-3.78280643714922,-5.00726755197596,-5.04390223360009,0.378957982659273,-7.16553584986994,-4.95118375085436,-4.90717552751025,0.110111234082941,0.595455588611358,0.449756465364532,0.3145129805901,0.349589278348577,155.530823809486,66.2716339255289,79.2635372844662,0.0356937168297118,-2.37908072849195,47.7705472502265,20.1587996552449,10.4983847887942,27.3781225899549,6.84331120217747,6.5383804542464,6.26247397282075,67.9864346527093
715.785003220369,11.0994789883332,11.9883696472843,13.3372065869148,9.42157978232467,1.76678346682499,1.96314795762294,0.0614147321617102,0.0268470449656639,0.304583598854237,-4.96013693635243,-3.88069749711839,-4.1790429918741,-4.13475396125768,-4.74333027255443,-5.31582956990672,0.390667411002521,-6.50744930966294,-5.07895915020929,-5.13299029026026,0.200617530580781,0.443926826454205,0.358159428416463,0.300364259833354,0.410526838050635,157.363667369042,61.0614576681378,79.3270632695603,0.0287403968059411,-2.02321150399477,57.5265390312161,20.268906553006,15.1038651595147,38.1218937332281,6.83507358479799,6.70923611103221,6.25535990554455,56.8417658096605
846.379845607858,9.25601214017578,13.315053453213,12.717418741741,10.4632286627845,1.47313632176768,1.86360780422096,0.047367059423284,0.01897191323917,0.247013895943134,-4.95962204644844,-4.06580184556932,-3.95786383321489,-4.1404954757633,-5.03281406084875,-5.35386516341665,0.470949746980328,-5.99735730547278,-5.48035729534171,-5.09825184582564,0.204986876247337,0.558009182364087,0.385912588697621,0.310591309463215,0.359693112700642,154.814067521735,70.8375332633384,78.5832573496952,0.0425640194147855,-3.59435346834828,37.1334395066594,21.2680841178207,10.5546031047061,20.1081762896212,6.84627921898726,6.50377916067394,6.27582097917445,37.1785170712114
701.004122691719,8.17462951019487,12.5756853225605,12.8730368058558,9.67656683585093,1.36494039136176,1.94704495017669,0.0518461414836291,0.0539270861212452,0.494655399926879,-4.97728042916666,-4.23325630924176,-4.85684406054728,-3.86351476336301,-4.54211140597875,-4.1477452246336,0.462225207018856,-6.6009682593803,-4.76804003354962,-4.95963446597123,0.125623243647627,0.53165267233852,0.836276349752933,0.294260729253076,0.306246907393333,155.082459635714,65.0929317220374,79.4552726138537,0.0363257628622215,-2.95639167442257,72.3701220488664,23.4097563417676,7.43049605983819,35.8676919330774,6.83983535829025,6.63529758254419,6.24032907299742,52.2424466753097
683.553768272857,8.95504216702385,12.362333908854,12.8089488888537,9.40311118404258,1.27148863645643,2.07505260062444,0.0765113910025312,0.0427873134073326,0.498031939516467,-5.11324945235974,-3.9490244950101,-4.10743651483278,-3.75366783134619,-4.18388277059236,-4.68136158905115,0.374735756570326,-7.03518413890422,-6.00598085804821,-5.27318006788159,0.0714830968639557,0.75069122099599,0.940228576493273,0.281751073016984,0.399653793693825,155.796958908163,62.105156532518,78.2987046716886,0.0359686849485341,-4.12434108657058,41.7479046553323,20.0247358513854,9.83995111861156,31.7665430592042,6.84354889185624,6.70883245834184,6.2762825654477,56.4756496422627
615.01697002985,9.34861415696897,12.3155588917695,12.8515857064584,8.82186866614753,1.67589466999013,1.84949469496037,0.0774761000379721,0.0245912154563043,0.237537733966541,-5.67295726704067,-3.91569759293749,-5.66737315451885,-4.07517080036558,-4.98262177374456,-4.28832884702718,0.349187449559032,-6.95218105766432,-5.26593842433623,-5.31417055094066,0.141986053098806,0.503841922070917,0.551751470635793,0.277607142560153,0.397616071160952,156.105141826358,63.4412954581225,77.3237459913254,0.0515698847913446,-4.85403306761058,59.8590053232942,16.8992251483502,10.1574745988812,35.0540915888595,6.8557792731463,6.62378344743077,6.2922778482346,61.5508841464383
712.027942304406,9.34543885802136,13.2050547876368,13.1678879490603,10.3213351400703,1.69575113109466,1.83745846917087,0.070613646908529,0.0521237450368318,0.397424955786175,-4.3435262702056,-4.15832873251011,-4.33466786042404,-3.95285507555993,-4.54103036955693,-4.54470436021115,0.351075862890185,-6.9959953539561,-5.21983670681997,-4.88281515768849,0.113109514346905,0.395155209857845,0.574529221105853,0.307527357852181,0.321248655011634,155.972820702251,61.6815427167611,78.0376915010003,0.0437452669105101,-4.05881967542644,46.7872743259295,20.2339410111381,13.3114576443761,22.065221531675,6.84606019293587,6.60270135638339,6.28599667440822,54.4570831480191
651.358946098312,9.40238134070997,12.7813012629278,12.6770198379559,9.54274721409096,1.51755121162835,1.94192942278284,0.0511413130565201,0.0304585176731235,0.390929039303858,-4.33657027396573,-3.9120016310876,-5.10654173037432,-3.9905914424244,-4.74040593592221,-4.60515769144032,0.342249037436019,-6.87386507021064,-4.84972824989953,-4.59723081780676,0.0947412761228965,0.452867351563746,0.898986637516116,0.316405036512273,0.368690834729194,155.510946178617,66.0059879566091,79.3765338852552,0.0374670985663295,-3.33522400861646,39.594885768064,15.3984858703998,7.37757694556109,34.6565664103352,6.84074814782509,6.66240678943826,6.23211719333817,71.4421218813413
