seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
61120.0,3.0,94.106,0.99,0.067,0.042,0.013,1.0,0.25,0.37,0.37
373200.0,3.0,92.19166666666666,0.99,0.043,0.103,0.012,1.0,0.35,0.39,0.26
948431.0,3.0,93.94233333333334,0.99,0.093,0.013,0.019,1.0,0.59,0.22,0.19
960632.0,3.0,93.45633333333333,0.99,0.084,0.032,0.021,1.0,0.39,0.41,0.2
207708.0,3.0,93.178,0.99,0.072,0.05,0.018,1.0,0.44,0.25,0.31
923278.0,3.0,93.76466666666667,0.99,0.091,0.018,0.019,1.0,0.37,0.39,0.24
534243.0,3.0,92.215,0.99,0.081,0.062,0.018,1.0,0.5,0.31,0.19
91735.0,3.0,94.38133333333333,1.0,0.089,0.018,0.005,1.0,0.4,0.36,0.24
