seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
290701.0,1.0,10.168166133888889,0.22,0.622,0.61,0.701,0.3,0.4,0.33,0.26
34602.0,1.0,8.752012496666666,0.19,0.87,0.592,0.669,0.23,0.0,0.2,0.8
246510.0,1.0,8.719000935555556,0.07,0.865,0.718,0.727,0.13,0.0,0.11,0.89
899110.0,1.0,9.13946782277778,0.07,0.78,0.776,0.737,0.13,0.23,0.44,0.33
92335.0,1.0,9.759575421666666,0.28,0.863,0.513,0.539,0.3,0.0,0.74,0.26
811245.0,1.0,8.886657339444445,0.11,0.733,0.658,0.853,0.17,0.4,0.59,0.01
