seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
722701.0,5.0,197.41730572888892,0.95,0.104,0.066,0.059,0.68,0.37,0.45,0.18
503307.0,5.0,197.28080918388892,0.96,0.125,0.067,0.052,0.66,0.51,0.27,0.22
124909.0,5.0,195.4783752077778,0.94,0.107,0.072,0.072,0.69,0.36,0.25,0.39
337159.0,5.0,194.11527677388884,0.94,0.114,0.086,0.065,0.69,0.25,0.29,0.46
311282.0,5.0,195.3823256538889,0.94,0.131,0.066,0.075,0.66,0.37,0.26,0.38
582205.0,5.0,195.29506829555558,0.96,0.095,0.057,0.057,0.76,0.55,0.2,0.24
363501.0,5.0,191.75358264666667,0.93,0.132,0.107,0.084,0.65,0.39,0.46,0.15
956649.0,5.0,195.5994873788889,0.96,0.093,0.08,0.076,0.68,0.39,0.43,0.18
775001.0,5.0,193.64691634833332,0.94,0.104,0.087,0.072,0.7,0.54,0.29,0.16
458127.0,5.0,193.23462323277778,0.94,0.132,0.073,0.066,0.7,0.26,0.52,0.21
800799.0,5.0,194.4138993472222,0.95,0.118,0.092,0.068,0.66,0.4,0.29,0.31
601544.0,5.0,194.7639028311111,0.94,0.102,0.089,0.085,0.66,0.36,0.43,0.21
631533.0,5.0,195.0887331866667,0.97,0.093,0.08,0.052,0.74,0.54,0.26,0.2
176811.0,5.0,188.14733333333334,0.96,0.076,0.039,0.037,1.0,0.4,0.42,0.18
989253.0,5.0,196.888955135,0.96,0.134,0.046,0.054,0.68,0.3,0.47,0.22
767451.0,5.0,188.372,0.96,0.084,0.033,0.033,1.0,0.37,0.39,0.24
536292.0,5.0,195.40573135944445,0.96,0.095,0.057,0.073,0.73,0.45,0.37,0.18
