seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
66963.0,2.0,54.99031266666667,0.84,0.265,0.17,0.136,0.56,0.61,0.18,0.21
66963.0,2.0,53.066966683333334,0.85,0.254,0.18,0.134,0.59,0.56,0.21,0.23
66963.0,2.0,56.2232018,0.9,0.239,0.163,0.127,0.55,0.6,0.19,0.21
66963.0,2.0,57.7601358,0.95,0.207,0.138,0.091,0.56,0.59,0.19,0.21
66963.0,2.0,54.86529006666669,0.9,0.261,0.153,0.118,0.57,0.61,0.18,0.21
66963.0,2.0,54.043360500000006,0.88,0.272,0.185,0.154,0.56,0.61,0.19,0.21
66963.0,2.0,53.56101344999998,0.82,0.276,0.197,0.16,0.56,0.61,0.19,0.21
66963.0,2.0,56.38073653333334,0.89,0.237,0.157,0.133,0.55,0.6,0.17,0.22
66963.0,2.0,54.68661391666667,0.89,0.245,0.177,0.142,0.56,0.59,0.18,0.22
66963.0,2.0,54.848100450000004,0.84,0.262,0.185,0.157,0.55,0.62,0.17,0.21
66963.0,2.0,53.513321450000014,0.88,0.268,0.187,0.145,0.57,0.59,0.19,0.22
66963.0,2.0,54.47058626666668,0.85,0.262,0.169,0.135,0.56,0.6,0.19,0.22
66963.0,2.0,57.56694476666667,0.94,0.215,0.141,0.114,0.56,0.61,0.17,0.22
66963.0,2.0,55.78449038333334,0.92,0.237,0.139,0.106,0.58,0.59,0.19,0.22
66963.0,2.0,55.51170861666668,0.83,0.241,0.167,0.138,0.56,0.61,0.18,0.21
66963.0,2.0,56.60621221666666,0.88,0.244,0.158,0.124,0.55,0.62,0.18,0.2
66963.0,2.0,53.62810351666667,0.8,0.273,0.19,0.157,0.56,0.6,0.19,0.21
66963.0,2.0,52.8444008,0.85,0.279,0.189,0.157,0.57,0.6,0.19,0.22
66963.0,2.0,53.02412468333334,0.87,0.282,0.183,0.161,0.57,0.6,0.18,0.22
66963.0,2.0,53.55825528333334,0.85,0.263,0.19,0.154,0.57,0.59,0.19,0.22
66963.0,2.0,55.731533,0.86,0.248,0.169,0.135,0.55,0.6,0.18,0.22
66963.0,2.0,52.75444175000001,0.85,0.297,0.18,0.156,0.57,0.61,0.17,0.21
66963.0,2.0,54.58817465000001,0.83,0.265,0.192,0.156,0.54,0.61,0.18,0.21
66963.0,2.0,50.56043981666666,0.76,0.318,0.232,0.2,0.56,0.61,0.18,0.2
66963.0,2.0,52.098114516666676,0.82,0.288,0.205,0.164,0.57,0.59,0.19,0.21
66963.0,2.0,55.66745401666668,0.9,0.244,0.159,0.122,0.56,0.61,0.18,0.21
66963.0,2.0,54.62067628333334,0.9,0.247,0.167,0.131,0.57,0.58,0.19,0.23
66963.0,2.0,55.715331216666655,0.88,0.242,0.17,0.141,0.55,0.6,0.18,0.22
66963.0,2.0,54.26183285000001,0.86,0.26,0.181,0.151,0.56,0.59,0.19,0.22
66963.0,2.0,54.32469508333334,0.88,0.252,0.164,0.128,0.58,0.59,0.19,0.22
66963.0,2.0,53.45445605000002,0.82,0.278,0.193,0.166,0.56,0.61,0.18,0.21
66963.0,2.0,54.80011465000001,0.84,0.257,0.173,0.15,0.56,0.61,0.18,0.21
