seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
879251.0,1.5,30.471003775,0.66,0.329,0.258,0.378,0.5,0.35,0.3,0.35
966743.0,1.5,32.431083791666666,0.69,0.341,0.259,0.296,0.49,0.45,0.29,0.26
402223.0,1.5,34.01277227,0.7,0.326,0.255,0.306,0.45,0.4,0.41,0.19
907957.0,1.5,32.38892380166667,0.67,0.402,0.279,0.311,0.43,0.35,0.47,0.18
747200.0,1.5,31.303623915,0.65,0.358,0.335,0.291,0.47,0.33,0.36,0.3
779135.0,1.5,32.591181766666665,0.75,0.311,0.207,0.263,0.53,0.34,0.45,0.21
