seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
100639.0,15.0,674.699668835,0.99,0.055,0.04,0.006,1.0,0.47,0.31,0.23
442862.0,15.0,675.1393333333333,0.99,0.07,0.022,0.007,1.0,0.47,0.26,0.27
643251.0,15.0,675.5713333333333,1.0,0.066,0.026,0.005,1.0,0.41,0.34,0.25
153409.0,15.0,673.0243333450001,0.99,0.069,0.029,0.01,1.0,0.4,0.3,0.29
219524.0,15.0,675.1476666666666,1.0,0.051,0.042,0.006,1.0,0.51,0.33,0.17
657320.0,15.0,677.908779625,1.0,0.07,0.012,0.006,1.0,0.47,0.33,0.2
857023.0,15.0,677.5460466783334,1.0,0.071,0.014,0.004,1.0,0.47,0.32,0.21
407130.0,15.0,673.4113333333333,0.98,0.07,0.025,0.012,1.0,0.54,0.2,0.27
982059.0,15.0,677.7473333366667,0.99,0.063,0.02,0.006,1.0,0.53,0.24,0.23
185551.0,15.0,679.2216666666667,1.0,0.067,0.011,0.005,1.0,0.41,0.38,0.21
587040.0,15.0,672.2046666666666,0.99,0.063,0.04,0.007,1.0,0.49,0.32,0.19
904000.0,15.0,675.7139250966666,1.0,0.071,0.016,0.009,1.0,0.47,0.36,0.18
967084.0,15.0,675.5333333333333,0.99,0.07,0.018,0.009,1.0,0.38,0.31,0.32
212391.0,15.0,675.0465412566666,0.99,0.075,0.019,0.006,1.0,0.43,0.33,0.24
498295.0,15.0,677.51100071,1.0,0.06,0.025,0.004,1.0,0.44,0.38,0.18
477248.0,15.0,676.6416666666667,1.0,0.07,0.017,0.006,1.0,0.45,0.37,0.18
377490.0,15.0,677.9556666666666,1.0,0.068,0.015,0.005,1.0,0.39,0.34,0.26
