seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
66963.0,2.0,52.53244613333333,0.87,0.285,0.186,0.161,0.57,0.6,0.18,0.22
66963.0,2.0,53.24670453333333,0.86,0.292,0.182,0.151,0.56,0.62,0.18,0.2
66963.0,2.0,56.320147983333335,0.88,0.248,0.163,0.132,0.54,0.63,0.17,0.21
66963.0,2.0,53.419811966666664,0.9,0.266,0.175,0.135,0.58,0.59,0.19,0.22
66963.0,2.0,55.69456478333334,0.84,0.258,0.177,0.144,0.54,0.62,0.18,0.21
66963.0,2.0,50.8646164,0.8,0.305,0.244,0.204,0.55,0.59,0.18,0.22
66963.0,2.0,54.78953378333335,0.86,0.269,0.175,0.147,0.55,0.62,0.17,0.21
66963.0,2.0,54.69475714999999,0.86,0.263,0.192,0.15,0.55,0.62,0.18,0.2
66963.0,2.0,53.63168906666667,0.86,0.291,0.168,0.14,0.56,0.61,0.18,0.21
66963.0,2.0,53.885641000000014,0.84,0.267,0.197,0.165,0.55,0.6,0.18,0.22
66963.0,2.0,58.940947133333346,0.95,0.202,0.132,0.108,0.54,0.61,0.17,0.22
66963.0,2.0,52.936653299999996,0.83,0.279,0.207,0.179,0.55,0.61,0.18,0.21
66963.0,2.0,57.97389461666667,0.89,0.197,0.155,0.123,0.55,0.59,0.19,0.22
66963.0,2.0,51.87159521666666,0.85,0.289,0.203,0.169,0.57,0.59,0.19,0.22
66963.0,2.0,54.50188738333333,0.84,0.259,0.192,0.161,0.55,0.61,0.18,0.22
66963.0,2.0,56.169748716666675,0.83,0.241,0.171,0.148,0.54,0.62,0.16,0.22
66963.0,2.0,55.75939205,0.87,0.248,0.159,0.129,0.56,0.61,0.18,0.22
66963.0,2.0,54.41626428333334,0.87,0.258,0.157,0.126,0.58,0.59,0.19,0.22
66963.0,2.0,51.50767208333334,0.84,0.274,0.216,0.18,0.58,0.57,0.2,0.23
