seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
120312.0,7.0,287.76377777777776,1.0,0.078,0.023,0.003,1.0,0.44,0.27,0.28
901669.0,7.0,288.0948888888889,0.99,0.068,0.025,0.01,1.0,0.34,0.35,0.31
290575.0,7.0,287.5968888888889,0.98,0.069,0.022,0.017,1.0,0.42,0.31,0.27
623505.0,7.0,287.36911111111107,0.99,0.076,0.021,0.012,1.0,0.44,0.31,0.24
943333.0,7.0,287.3951111111111,1.0,0.076,0.028,0.003,1.0,0.34,0.4,0.26
415319.0,7.0,288.60377777777774,1.0,0.075,0.018,0.005,1.0,0.43,0.29,0.28
495847.0,7.0,281.5744445688889,0.93,0.148,0.075,0.09,0.65,0.3,0.53,0.16
413408.0,7.0,288.23833333333334,0.99,0.067,0.021,0.015,1.0,0.38,0.41,0.21
14587.0,7.0,286.6432222222222,0.99,0.085,0.02,0.011,1.0,0.43,0.34,0.23
704718.0,7.0,288.48077777777775,0.99,0.07,0.023,0.005,1.0,0.5,0.23,0.27
