seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
66963.0,2.0,53.70314923333334,0.87,0.265,0.178,0.144,0.57,0.59,0.19,0.22
66963.0,2.0,53.55116605833334,0.86,0.269,0.196,0.166,0.56,0.6,0.18,0.21
66963.0,2.0,53.178869258333336,0.86,0.277,0.18,0.149,0.57,0.6,0.18,0.21
66963.0,2.0,52.98651535833334,0.84,0.277,0.201,0.165,0.56,0.59,0.19,0.22
66963.0,2.0,53.977917850000004,0.87,0.261,0.182,0.144,0.57,0.59,0.19,0.21
66963.0,2.0,53.443945975000005,0.84,0.28,0.187,0.161,0.56,0.61,0.17,0.22
66963.0,2.0,54.52715237500001,0.85,0.253,0.187,0.153,0.56,0.6,0.18,0.22
66963.0,2.0,53.938892308333344,0.88,0.266,0.167,0.134,0.58,0.59,0.18,0.22
66963.0,2.0,52.693308550000005,0.84,0.287,0.194,0.165,0.56,0.6,0.18,0.22
66963.0,2.0,54.10655607500001,0.88,0.27,0.168,0.141,0.57,0.61,0.18,0.21
66963.0,2.0,54.72387525833334,0.86,0.259,0.182,0.155,0.55,0.61,0.17,0.22
66963.0,2.0,54.68906148333333,0.88,0.259,0.169,0.139,0.56,0.6,0.19,0.21
66963.0,2.0,56.097474483333336,0.88,0.245,0.159,0.13,0.55,0.61,0.17,0.22
66963.0,2.0,55.51004623333334,0.87,0.241,0.178,0.141,0.55,0.6,0.18,0.21
66963.0,2.0,54.924720958333346,0.88,0.25,0.169,0.138,0.56,0.6,0.18,0.22
66963.0,2.0,53.63970123333334,0.86,0.275,0.178,0.145,0.57,0.6,0.18,0.21
66963.0,2.0,54.46530273333334,0.86,0.258,0.186,0.157,0.56,0.6,0.18,0.22
66963.0,2.0,55.43138338333334,0.88,0.244,0.17,0.138,0.56,0.6,0.18,0.22
66963.0,2.0,52.876456233333336,0.82,0.279,0.206,0.172,0.56,0.6,0.19,0.22
66963.0,2.0,54.84483385833333,0.85,0.261,0.189,0.162,0.54,0.61,0.18,0.21
66963.0,2.0,54.128431125000006,0.84,0.265,0.189,0.156,0.55,0.6,0.18,0.21
66963.0,2.0,50.62390924166668,0.82,0.303,0.217,0.183,0.58,0.59,0.19,0.22
66963.0,2.0,53.30763385833334,0.84,0.269,0.19,0.155,0.57,0.6,0.19,0.22
66963.0,2.0,53.24763306666668,0.82,0.284,0.199,0.166,0.55,0.61,0.19,0.21
66963.0,2.0,55.575157125000004,0.88,0.237,0.169,0.131,0.56,0.59,0.19,0.21
66963.0,2.0,54.24368925833334,0.87,0.268,0.178,0.148,0.56,0.6,0.18,0.22
66963.0,2.0,52.28982614166667,0.84,0.294,0.191,0.164,0.57,0.61,0.18,0.21
66963.0,2.0,54.34153300000002,0.86,0.262,0.171,0.141,0.57,0.6,0.18,0.22
66963.0,2.0,54.59022955833334,0.86,0.252,0.178,0.147,0.56,0.6,0.18,0.22
66963.0,2.0,52.943284616666666,0.86,0.275,0.187,0.153,0.57,0.59,0.19,0.22
66963.0,2.0,53.76590629166667,0.87,0.268,0.181,0.147,0.57,0.6,0.19,0.21
66963.0,2.0,54.84528742500001,0.86,0.257,0.177,0.142,0.56,0.6,0.18,0.21
66963.0,2.0,53.75925504166668,0.85,0.27,0.172,0.136,0.58,0.6,0.19,0.21
66963.0,2.0,55.64598643333335,0.86,0.245,0.169,0.136,0.55,0.6,0.18,0.22
66963.0,2.0,54.63233316666667,0.86,0.267,0.172,0.147,0.55,0.61,0.17,0.22
66963.0,2.0,53.953250358333335,0.85,0.264,0.173,0.132,0.57,0.6,0.19,0.21
66963.0,2.0,54.937663366666676,0.86,0.254,0.175,0.143,0.56,0.6,0.18,0.22
66963.0,2.0,54.836754741666674,0.86,0.259,0.185,0.156,0.55,0.61,0.18,0.21
66963.0,2.0,50.11850890833334,0.78,0.317,0.223,0.19,0.58,0.59,0.19,0.22
66963.0,2.0,54.663876066666674,0.88,0.254,0.158,0.131,0.57,0.6,0.18,0.22
66963.0,2.0,54.68569540000001,0.88,0.251,0.167,0.129,0.57,0.6,0.19,0.21
66963.0,2.0,53.70615270833334,0.83,0.272,0.192,0.158,0.56,0.6,0.19,0.21
66963.0,2.0,52.022550425000006,0.82,0.296,0.196,0.169,0.57,0.6,0.18,0.22
66963.0,2.0,53.07828197500001,0.8,0.287,0.212,0.181,0.55,0.62,0.18,0.21
66963.0,2.0,52.186291816666674,0.86,0.288,0.195,0.16,0.57,0.59,0.19,0.22
66963.0,2.0,52.08174375000001,0.82,0.289,0.199,0.167,0.57,0.59,0.18,0.22
66963.0,2.0,53.12606610833334,0.86,0.274,0.192,0.16,0.57,0.6,0.19,0.22
66963.0,2.0,55.356262575,0.89,0.246,0.173,0.138,0.55,0.6,0.18,0.22
66963.0,2.0,55.018480108333335,0.88,0.259,0.166,0.137,0.56,0.61,0.18,0.21
66963.0,2.0,53.028748883333336,0.83,0.28,0.183,0.154,0.57,0.6,0.18,0.22
66963.0,2.0,56.73791242500001,0.87,0.24,0.166,0.134,0.54,0.62,0.18,0.21
66963.0,2.0,52.44669220833333,0.8,0.29,0.207,0.174,0.56,0.61,0.18,0.21
66963.0,2.0,53.200245933333335,0.85,0.276,0.19,0.152,0.57,0.6,0.19,0.21
66963.0,2.0,53.49556762500001,0.85,0.276,0.177,0.149,0.57,0.61,0.18,0.21
66963.0,2.0,54.269478733333344,0.87,0.26,0.17,0.143,0.57,0.6,0.18,0.22
66963.0,2.0,54.82133306666667,0.84,0.261,0.175,0.151,0.55,0.61,0.18,0.21
66963.0,2.0,55.04615710833334,0.87,0.252,0.174,0.146,0.56,0.61,0.18,0.21
66963.0,2.0,54.76579505833333,0.88,0.255,0.161,0.129,0.57,0.59,0.19,0.22
66963.0,2.0,54.93736234166667,0.9,0.25,0.165,0.132,0.57,0.6,0.19,0.22
66963.0,2.0,54.413651308333336,0.83,0.264,0.186,0.161,0.55,0.61,0.17,0.22
66963.0,2.0,53.23212201666667,0.85,0.271,0.194,0.164,0.56,0.59,0.18,0.23
66963.0,2.0,53.94960934166667,0.85,0.259,0.176,0.143,0.57,0.59,0.18,0.22
66963.0,2.0,53.36642905000001,0.87,0.273,0.18,0.154,0.57,0.59,0.18,0.23
66963.0,2.0,54.254787583333346,0.84,0.266,0.177,0.148,0.56,0.6,0.18,0.22
66963.0,2.0,55.40919436666667,0.88,0.254,0.175,0.142,0.55,0.61,0.18,0.21
66963.0,2.0,53.765364000000005,0.87,0.278,0.172,0.147,0.56,0.61,0.17,0.22
66963.0,2.0,55.22606234166667,0.85,0.25,0.172,0.142,0.55,0.61,0.18,0.22
66963.0,2.0,53.182966625000006,0.83,0.282,0.201,0.169,0.55,0.61,0.18,0.21
66963.0,2.0,53.45042795833335,0.82,0.276,0.185,0.155,0.57,0.61,0.18,0.21
66963.0,2.0,54.700791316666674,0.89,0.256,0.171,0.142,0.56,0.61,0.18,0.21
66963.0,2.0,54.39160885833333,0.86,0.262,0.174,0.138,0.57,0.6,0.18,0.22
66963.0,2.0,56.18466050000001,0.88,0.243,0.159,0.13,0.55,0.6,0.18,0.22
66963.0,2.0,54.636203183333336,0.88,0.261,0.169,0.136,0.56,0.61,0.18,0.21
66963.0,2.0,53.66986729166667,0.86,0.266,0.178,0.148,0.57,0.6,0.18,0.21
66963.0,2.0,54.268534175000006,0.82,0.263,0.194,0.166,0.55,0.6,0.18,0.22
66963.0,2.0,54.137915741666674,0.84,0.258,0.179,0.141,0.57,0.6,0.19,0.21
66963.0,2.0,53.41870811666668,0.84,0.274,0.193,0.156,0.56,0.61,0.19,0.21
66963.0,2.0,55.918785125000014,0.92,0.242,0.157,0.118,0.56,0.61,0.19,0.21
66963.0,2.0,52.83600288333334,0.85,0.274,0.189,0.153,0.58,0.59,0.19,0.22
66963.0,2.0,53.564405016666676,0.86,0.274,0.183,0.151,0.57,0.6,0.19,0.21
66963.0,2.0,55.217230991666675,0.86,0.249,0.188,0.152,0.54,0.6,0.18,0.21
66963.0,2.0,52.35160945833334,0.84,0.288,0.208,0.183,0.56,0.59,0.18,0.22
66963.0,2.0,52.23967814166667,0.8,0.288,0.194,0.159,0.57,0.6,0.19,0.21
66963.0,2.0,52.67926751666667,0.81,0.284,0.204,0.173,0.56,0.6,0.18,0.22
66963.0,2.0,54.534532341666676,0.86,0.263,0.179,0.154,0.56,0.61,0.18,0.21
66963.0,2.0,52.44703969166667,0.84,0.281,0.191,0.151,0.58,0.59,0.2,0.21
66963.0,2.0,51.89427235000001,0.84,0.29,0.199,0.162,0.58,0.6,0.19,0.21
66963.0,2.0,55.476081883333336,0.89,0.242,0.163,0.127,0.57,0.6,0.19,0.21
66963.0,2.0,52.36162505,0.8,0.291,0.199,0.169,0.57,0.6,0.19,0.21
66963.0,2.0,54.231499483333344,0.86,0.261,0.184,0.155,0.56,0.6,0.18,0.21
66963.0,2.0,54.420985291666675,0.83,0.264,0.186,0.16,0.55,0.61,0.18,0.21
66963.0,2.0,53.344834033333335,0.86,0.267,0.185,0.15,0.57,0.59,0.19,0.22
66963.0,2.0,53.70257761666667,0.85,0.269,0.185,0.149,0.57,0.6,0.19,0.22
66963.0,2.0,53.99984896666667,0.86,0.258,0.183,0.144,0.57,0.6,0.19,0.22
66963.0,2.0,54.56235785833334,0.88,0.256,0.167,0.132,0.57,0.6,0.18,0.22
66963.0,2.0,52.48214981666667,0.84,0.286,0.192,0.159,0.57,0.61,0.18,0.21
66963.0,2.0,51.82851592500001,0.81,0.296,0.212,0.175,0.56,0.61,0.18,0.21
66963.0,2.0,54.12691923333334,0.88,0.265,0.171,0.147,0.57,0.6,0.18,0.22
66963.0,2.0,54.80281046666667,0.88,0.26,0.172,0.141,0.56,0.61,0.18,0.21
66963.0,2.0,52.939546858333344,0.86,0.265,0.193,0.158,0.57,0.58,0.19,0.23
