seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
233449.0,3.0,107.94680989999999,0.95,0.155,0.085,0.082,0.53,0.23,0.58,0.19
96580.0,3.0,105.356279425,0.96,0.204,0.081,0.067,0.55,0.56,0.21,0.23
801001.0,3.0,108.83077935000001,0.96,0.138,0.059,0.068,0.57,0.53,0.36,0.11
766372.0,3.0,104.699753375,0.93,0.157,0.112,0.084,0.57,0.25,0.55,0.2
745955.0,3.0,105.59640107499999,0.94,0.155,0.094,0.112,0.54,0.26,0.24,0.5
274120.0,3.0,102.93537657499999,0.92,0.193,0.12,0.091,0.56,0.27,0.35,0.38
481900.0,3.0,103.20834135000001,0.94,0.165,0.095,0.081,0.61,0.38,0.17,0.45
126100.0,3.0,103.475137275,0.92,0.146,0.127,0.105,0.58,0.32,0.34,0.33
464343.0,3.0,103.05402677499998,0.9,0.174,0.092,0.082,0.61,0.26,0.19,0.55
215953.0,3.0,101.100142675,0.88,0.172,0.165,0.135,0.54,0.46,0.18,0.36
