seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
560601.0,25.0,1162.1182222255554,1.0,0.072,0.015,0.004,1.0,0.38,0.36,0.25
87593.0,25.0,1155.990667555,1.0,0.063,0.037,0.005,1.0,0.36,0.38,0.26
432550.0,25.0,1159.805,0.99,0.067,0.016,0.013,1.0,0.49,0.27,0.25
471311.0,25.0,1152.9732222222221,1.0,0.069,0.035,0.007,1.0,0.34,0.33,0.33
21030.0,25.0,1159.5547778227776,1.0,0.075,0.017,0.005,1.0,0.35,0.37,0.28
536399.0,25.0,1161.5706666666667,1.0,0.069,0.018,0.005,1.0,0.44,0.36,0.21
220124.0,25.0,1154.659002865,0.99,0.071,0.031,0.007,1.0,0.35,0.26,0.39
699634.0,25.0,1161.3073333333334,0.99,0.065,0.02,0.008,1.0,0.41,0.34,0.25
134655.0,25.0,1157.97800329,0.99,0.074,0.015,0.011,1.0,0.41,0.36,0.23
105112.0,25.0,1151.1716666666666,1.0,0.048,0.066,0.003,1.0,0.48,0.32,0.2
58292.0,25.0,1155.875,0.99,0.054,0.043,0.008,1.0,0.43,0.34,0.22
