seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
517612.0,15.0,677.9216666666666,1.0,0.072,0.011,0.005,1.0,0.46,0.31,0.24
596462.0,15.0,678.3280000416667,1.0,0.072,0.013,0.001,1.0,0.42,0.35,0.24
590741.0,15.0,678.086,0.99,0.062,0.016,0.009,1.0,0.55,0.23,0.22
122203.0,15.0,676.12,0.99,0.07,0.016,0.009,1.0,0.41,0.33,0.26
968888.0,15.0,675.22,1.0,0.079,0.014,0.006,1.0,0.46,0.29,0.25
980826.0,15.0,675.732,1.0,0.068,0.024,0.004,1.0,0.47,0.31,0.23
260836.0,15.0,675.4286666666667,0.98,0.067,0.017,0.015,1.0,0.35,0.39,0.26
725876.0,15.0,676.6966666666667,0.99,0.065,0.022,0.006,1.0,0.36,0.36,0.28
922932.0,15.0,674.867,1.0,0.072,0.025,0.003,1.0,0.36,0.37,0.27
681163.0,15.0,674.0226666666666,0.99,0.078,0.013,0.013,1.0,0.41,0.31,0.29
809077.0,15.0,677.313,1.0,0.071,0.016,0.004,1.0,0.37,0.41,0.22
396417.0,15.0,674.4593333333333,1.0,0.059,0.039,0.003,1.0,0.42,0.27,0.31
46221.0,15.0,674.406,1.0,0.055,0.043,0.003,1.0,0.42,0.35,0.23
783787.0,15.0,673.412,0.99,0.068,0.025,0.014,1.0,0.48,0.3,0.22
587581.0,15.0,675.191,0.99,0.068,0.019,0.012,1.0,0.47,0.31,0.22
953100.0,15.0,677.1,1.0,0.066,0.02,0.005,1.0,0.44,0.3,0.26
70031.0,15.0,677.7847008566666,1.0,0.068,0.014,0.007,1.0,0.44,0.28,0.28
961837.0,15.0,674.9533377316667,0.99,0.069,0.021,0.01,1.0,0.51,0.29,0.2
340089.0,15.0,676.6693333333334,0.99,0.065,0.019,0.009,1.0,0.47,0.28,0.25
