seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
70666.0,1.0,13.687464487222222,0.39,0.562,0.463,0.473,0.35,0.46,0.31,0.23
717161.0,1.0,13.353471506111111,0.52,0.456,0.357,0.485,0.42,0.3,0.29,0.41
120720.0,1.0,11.958678717777778,0.26,0.682,0.551,0.572,0.29,0.54,0.21,0.25
181072.0,1.0,8.960912018333334,0.25,0.573,0.551,0.855,0.3,0.74,0.26,0.0
724454.0,1.0,10.35816271388889,0.17,0.66,0.671,0.66,0.27,0.41,0.38,0.21
318290.0,1.0,8.362076543888888,0.17,0.863,0.609,0.681,0.23,0.0,0.88,0.12
309064.0,1.0,10.70699842,0.16,0.734,0.652,0.665,0.22,0.18,0.36,0.46
