seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
66963.0,2.0,56.1259127,0.87,0.247,0.161,0.135,0.55,0.61,0.17,0.22
66963.0,2.0,56.21193776666667,0.88,0.234,0.167,0.134,0.55,0.6,0.18,0.22
66963.0,2.0,51.76206518333334,0.79,0.293,0.219,0.186,0.56,0.61,0.18,0.21
66963.0,2.0,56.9838305,0.86,0.243,0.167,0.136,0.53,0.62,0.17,0.21
66963.0,2.0,55.557936566666676,0.87,0.252,0.183,0.148,0.54,0.61,0.18,0.21
66963.0,2.0,54.22882406666667,0.91,0.26,0.155,0.126,0.58,0.59,0.19,0.22
66963.0,2.0,50.20743426666667,0.8,0.319,0.226,0.194,0.57,0.59,0.19,0.22
66963.0,2.0,54.76387101666667,0.88,0.266,0.165,0.14,0.56,0.61,0.18,0.21
66963.0,2.0,54.00023184999999,0.86,0.268,0.176,0.144,0.56,0.6,0.19,0.21
66963.0,2.0,51.55098651666667,0.83,0.291,0.197,0.163,0.58,0.59,0.19,0.22
66963.0,2.0,52.157359683333326,0.85,0.285,0.203,0.17,0.57,0.59,0.19,0.23
66963.0,2.0,53.86767406666668,0.87,0.268,0.165,0.136,0.58,0.6,0.18,0.22
66963.0,2.0,53.396685516666665,0.8,0.279,0.199,0.16,0.55,0.61,0.19,0.2
66963.0,2.0,54.289418633333334,0.87,0.256,0.181,0.152,0.56,0.59,0.18,0.23
66963.0,2.0,53.101538616666666,0.83,0.288,0.194,0.165,0.56,0.61,0.19,0.2
66963.0,2.0,54.18987018333333,0.82,0.272,0.186,0.166,0.55,0.62,0.16,0.21
66963.0,2.0,55.684560433333345,0.88,0.239,0.171,0.134,0.56,0.6,0.18,0.22
66963.0,2.0,55.901291966666676,0.87,0.243,0.174,0.143,0.55,0.62,0.17,0.21
66963.0,2.0,51.94713843333333,0.8,0.302,0.19,0.165,0.57,0.62,0.18,0.21
66963.0,2.0,51.85951186666667,0.82,0.298,0.21,0.178,0.56,0.6,0.18,0.22
66963.0,2.0,54.176167616666675,0.87,0.265,0.191,0.16,0.55,0.6,0.18,0.22
66963.0,2.0,52.52918433333333,0.85,0.28,0.2,0.167,0.57,0.59,0.19,0.22
66963.0,2.0,51.73964956666668,0.84,0.29,0.211,0.186,0.56,0.59,0.19,0.23
66963.0,2.0,55.09450243333334,0.87,0.253,0.176,0.142,0.55,0.6,0.18,0.22
66963.0,2.0,53.25331358333333,0.84,0.275,0.189,0.158,0.56,0.6,0.18,0.22
66963.0,2.0,55.88042683333334,0.86,0.243,0.159,0.134,0.56,0.61,0.17,0.22
66963.0,2.0,55.71038258333334,0.9,0.239,0.168,0.123,0.56,0.6,0.19,0.21
66963.0,2.0,53.1550395,0.9,0.276,0.163,0.131,0.59,0.59,0.19,0.22
66963.0,2.0,54.77920946666667,0.87,0.254,0.171,0.134,0.57,0.6,0.18,0.21
66963.0,2.0,54.34974648333334,0.88,0.248,0.167,0.125,0.58,0.58,0.2,0.22
66963.0,2.0,53.11886078333334,0.85,0.279,0.193,0.153,0.56,0.59,0.19,0.22
66963.0,2.0,49.68626128333332,0.79,0.328,0.227,0.193,0.57,0.61,0.18,0.21
66963.0,2.0,52.724406966666656,0.84,0.273,0.191,0.157,0.58,0.58,0.19,0.23
66963.0,2.0,53.25832678333333,0.83,0.281,0.185,0.155,0.57,0.61,0.18,0.21
66963.0,2.0,55.85641241666667,0.9,0.252,0.15,0.119,0.56,0.62,0.18,0.2
66963.0,2.0,54.414179800000014,0.87,0.258,0.168,0.137,0.57,0.59,0.18,0.22
66963.0,2.0,52.893512266666676,0.86,0.277,0.186,0.138,0.58,0.6,0.2,0.21
66963.0,2.0,53.56745528333334,0.84,0.272,0.202,0.163,0.55,0.6,0.19,0.21
66963.0,2.0,56.0824698,0.89,0.245,0.151,0.127,0.56,0.62,0.17,0.21
66963.0,2.0,56.14866180000002,0.86,0.238,0.173,0.148,0.54,0.61,0.17,0.22
66963.0,2.0,52.48106275000001,0.91,0.272,0.17,0.131,0.6,0.58,0.2,0.22
