seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
66963.0,2.0,52.26644959166667,0.8,0.292,0.22,0.19,0.55,0.61,0.18,0.21
66963.0,2.0,53.316532675000005,0.86,0.273,0.202,0.163,0.56,0.6,0.18,0.22
66963.0,2.0,54.09844571666667,0.86,0.262,0.186,0.159,0.56,0.61,0.18,0.22
66963.0,2.0,54.42574480000001,0.86,0.257,0.172,0.144,0.57,0.61,0.18,0.22
66963.0,2.0,53.30941385,0.85,0.269,0.186,0.155,0.57,0.59,0.19,0.22
66963.0,2.0,54.46034412500001,0.88,0.256,0.169,0.135,0.57,0.6,0.19,0.21
66963.0,2.0,54.760142125,0.85,0.257,0.182,0.147,0.55,0.6,0.18,0.22
66963.0,2.0,54.74293059166666,0.87,0.255,0.172,0.136,0.56,0.6,0.18,0.21
66963.0,2.0,54.443310008333334,0.86,0.263,0.181,0.156,0.55,0.61,0.17,0.22
66963.0,2.0,56.74831815833333,0.88,0.235,0.159,0.127,0.55,0.6,0.19,0.21
66963.0,2.0,54.00328173333333,0.86,0.272,0.184,0.157,0.56,0.6,0.18,0.22
66963.0,2.0,53.30638765833334,0.82,0.269,0.19,0.156,0.57,0.6,0.19,0.21
66963.0,2.0,53.51952930833334,0.84,0.275,0.189,0.162,0.56,0.6,0.18,0.22
66963.0,2.0,54.7624761,0.88,0.253,0.171,0.135,0.56,0.6,0.18,0.22
66963.0,2.0,53.86546377500001,0.86,0.261,0.181,0.151,0.57,0.59,0.18,0.22
66963.0,2.0,53.84627474166667,0.82,0.276,0.19,0.154,0.56,0.62,0.18,0.2
66963.0,2.0,53.28652954166667,0.87,0.275,0.181,0.15,0.57,0.6,0.18,0.22
66963.0,2.0,53.76162643333333,0.9,0.271,0.17,0.138,0.57,0.6,0.19,0.21
66963.0,2.0,52.06533025833333,0.86,0.288,0.189,0.154,0.58,0.59,0.19,0.22
66963.0,2.0,52.945617733333336,0.8,0.288,0.202,0.175,0.56,0.61,0.17,0.22
66963.0,2.0,53.72461706666667,0.84,0.263,0.187,0.158,0.56,0.59,0.18,0.23
66963.0,2.0,55.200930333333346,0.88,0.246,0.171,0.136,0.56,0.59,0.19,0.22
66963.0,2.0,54.78489299166667,0.86,0.258,0.179,0.149,0.55,0.61,0.18,0.21
66963.0,2.0,53.22410525000001,0.86,0.282,0.182,0.151,0.57,0.61,0.18,0.21
66963.0,2.0,53.99354896666668,0.84,0.275,0.18,0.151,0.56,0.62,0.17,0.21
66963.0,2.0,56.384269841666665,0.89,0.235,0.156,0.124,0.55,0.61,0.18,0.21
66963.0,2.0,54.08832443333335,0.84,0.266,0.191,0.157,0.56,0.6,0.18,0.21
66963.0,2.0,54.84799912500001,0.9,0.249,0.165,0.128,0.57,0.6,0.19,0.21
66963.0,2.0,53.733818625000005,0.86,0.266,0.186,0.153,0.57,0.6,0.18,0.22
66963.0,2.0,52.67716455833333,0.82,0.286,0.2,0.163,0.56,0.6,0.19,0.22
66963.0,2.0,54.57058455000001,0.86,0.259,0.182,0.151,0.55,0.61,0.18,0.22
66963.0,2.0,55.93066070833334,0.84,0.237,0.173,0.138,0.55,0.6,0.19,0.21
66963.0,2.0,53.37236945000001,0.83,0.276,0.184,0.154,0.56,0.6,0.18,0.22
66963.0,2.0,55.942398933333344,0.89,0.24,0.169,0.133,0.55,0.6,0.18,0.21
66963.0,2.0,53.26864310833334,0.84,0.28,0.195,0.171,0.55,0.61,0.18,0.21
66963.0,2.0,54.897981591666664,0.88,0.255,0.169,0.131,0.56,0.6,0.18,0.22
66963.0,2.0,53.74345894166667,0.88,0.26,0.181,0.151,0.57,0.59,0.18,0.22
66963.0,2.0,53.35076240833334,0.85,0.27,0.184,0.147,0.57,0.59,0.19,0.22
66963.0,2.0,54.14967235,0.84,0.269,0.19,0.159,0.55,0.6,0.18,0.22
66963.0,2.0,50.23216601666667,0.78,0.325,0.225,0.197,0.57,0.6,0.18,0.22
66963.0,2.0,53.371823250000006,0.82,0.28,0.194,0.159,0.56,0.62,0.18,0.2
66963.0,2.0,54.824717483333345,0.88,0.25,0.176,0.147,0.56,0.61,0.18,0.22
66963.0,2.0,53.43706046666668,0.84,0.271,0.185,0.151,0.57,0.6,0.19,0.21
66963.0,2.0,52.803820400000006,0.85,0.278,0.188,0.152,0.57,0.59,0.19,0.22
66963.0,2.0,55.366752075,0.86,0.25,0.165,0.138,0.56,0.61,0.18,0.21
66963.0,2.0,54.801609258333336,0.87,0.256,0.186,0.158,0.55,0.61,0.18,0.21
66963.0,2.0,54.276149183333345,0.88,0.262,0.168,0.139,0.57,0.61,0.18,0.22
66963.0,2.0,54.768421750000016,0.86,0.256,0.175,0.138,0.56,0.61,0.18,0.21
66963.0,2.0,54.45781530833334,0.87,0.264,0.167,0.136,0.57,0.61,0.18,0.21
66963.0,2.0,52.0159318,0.82,0.291,0.206,0.176,0.57,0.6,0.18,0.22
66963.0,2.0,53.4417555,0.85,0.283,0.18,0.15,0.56,0.61,0.18,0.21
66963.0,2.0,54.81219905,0.84,0.257,0.178,0.142,0.56,0.6,0.19,0.21
66963.0,2.0,54.30368329166667,0.85,0.264,0.185,0.155,0.56,0.61,0.18,0.21
66963.0,2.0,52.558848383333334,0.84,0.285,0.197,0.167,0.57,0.6,0.18,0.22
66963.0,2.0,54.59214458333334,0.85,0.265,0.181,0.158,0.55,0.61,0.17,0.22
66963.0,2.0,52.53615987500001,0.84,0.284,0.205,0.17,0.56,0.6,0.19,0.21
66963.0,2.0,52.356849441666675,0.84,0.282,0.205,0.167,0.57,0.6,0.19,0.22
66963.0,2.0,56.022321116666674,0.89,0.232,0.169,0.126,0.56,0.59,0.19,0.22
66963.0,2.0,54.784832425000005,0.88,0.263,0.172,0.14,0.56,0.61,0.18,0.21
66963.0,2.0,52.982955591666666,0.88,0.278,0.193,0.162,0.57,0.59,0.19,0.22
66963.0,2.0,54.50491647500001,0.87,0.249,0.178,0.139,0.57,0.58,0.19,0.22
66963.0,2.0,51.50988960000001,0.84,0.296,0.211,0.177,0.57,0.6,0.19,0.22
66963.0,2.0,55.44906753333335,0.86,0.247,0.175,0.149,0.55,0.6,0.18,0.22
66963.0,2.0,51.14671871666666,0.83,0.296,0.196,0.174,0.59,0.59,0.18,0.23
66963.0,2.0,53.728354408333345,0.87,0.271,0.168,0.136,0.57,0.6,0.19,0.22
66963.0,2.0,55.76183416666667,0.87,0.238,0.167,0.131,0.56,0.6,0.19,0.22
66963.0,2.0,53.75875393333334,0.86,0.272,0.183,0.152,0.56,0.61,0.19,0.21
66963.0,2.0,54.992979150000004,0.88,0.249,0.171,0.135,0.56,0.6,0.18,0.22
66963.0,2.0,54.84637621666667,0.86,0.26,0.169,0.138,0.56,0.61,0.18,0.21
66963.0,2.0,53.66262481666668,0.86,0.268,0.175,0.141,0.58,0.59,0.19,0.22
66963.0,2.0,54.59725340000001,0.88,0.247,0.171,0.135,0.57,0.59,0.19,0.22
66963.0,2.0,54.197386875,0.86,0.27,0.184,0.146,0.56,0.6,0.18,0.21
66963.0,2.0,51.24203621666666,0.85,0.307,0.205,0.171,0.57,0.6,0.19,0.21
66963.0,2.0,53.99155864166667,0.86,0.261,0.174,0.148,0.57,0.59,0.19,0.23
66963.0,2.0,54.776291375,0.84,0.26,0.181,0.154,0.55,0.61,0.18,0.21
66963.0,2.0,54.35746449166667,0.88,0.259,0.175,0.143,0.56,0.59,0.19,0.22
66963.0,2.0,53.816463366666675,0.82,0.271,0.198,0.163,0.55,0.61,0.17,0.21
66963.0,2.0,53.33155129166667,0.79,0.278,0.207,0.182,0.54,0.61,0.18,0.21
66963.0,2.0,53.405022775,0.83,0.276,0.191,0.159,0.56,0.61,0.18,0.22
66963.0,2.0,53.94163913333334,0.89,0.26,0.18,0.142,0.57,0.59,0.19,0.22
66963.0,2.0,52.741094975,0.86,0.279,0.189,0.163,0.57,0.6,0.18,0.22
66963.0,2.0,54.73678373333334,0.86,0.262,0.171,0.151,0.55,0.61,0.17,0.22
66963.0,2.0,55.3248496,0.87,0.248,0.171,0.139,0.56,0.61,0.18,0.21
66963.0,2.0,54.22127036666668,0.85,0.267,0.195,0.171,0.54,0.61,0.17,0.22
66963.0,2.0,55.18791024166667,0.9,0.247,0.163,0.136,0.56,0.6,0.18,0.22
66963.0,2.0,53.529593525,0.84,0.268,0.188,0.16,0.57,0.6,0.18,0.22
66963.0,2.0,53.91975586666668,0.84,0.266,0.188,0.162,0.56,0.6,0.18,0.22
66963.0,2.0,53.153605408333334,0.84,0.284,0.182,0.155,0.57,0.61,0.18,0.21
66963.0,2.0,55.13357393333334,0.88,0.248,0.166,0.138,0.56,0.6,0.18,0.22
66963.0,2.0,51.777528625,0.83,0.3,0.193,0.164,0.58,0.61,0.18,0.21
66963.0,2.0,52.70554075,0.82,0.291,0.202,0.172,0.55,0.61,0.17,0.21
66963.0,2.0,55.582620525,0.88,0.245,0.172,0.139,0.55,0.61,0.18,0.21
66963.0,2.0,53.242690350000004,0.82,0.279,0.192,0.164,0.56,0.61,0.18,0.21
66963.0,2.0,54.908872791666674,0.88,0.254,0.169,0.143,0.56,0.6,0.18,0.22
66963.0,2.0,55.099382625000004,0.9,0.248,0.155,0.126,0.57,0.6,0.18,0.22
66963.0,2.0,55.182633466666665,0.87,0.253,0.164,0.132,0.56,0.6,0.18,0.22
66963.0,2.0,52.95162274166667,0.85,0.281,0.196,0.169,0.56,0.6,0.18,0.22
66963.0,2.0,54.575565333333344,0.86,0.256,0.184,0.148,0.56,0.59,0.19,0.22
66963.0,2.0,53.85770464166666,0.85,0.267,0.19,0.163,0.55,0.6,0.18,0.22
