seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
936576.0,25.0,1160.3546687666665,0.99,0.07,0.013,0.011,1.0,0.37,0.33,0.29
445628.0,25.0,1158.4373346466668,0.99,0.054,0.037,0.008,1.0,0.4,0.36,0.23
609463.0,25.0,1159.5227753166664,1.0,0.059,0.032,0.006,1.0,0.48,0.29,0.24
823898.0,25.0,1158.8317777777777,0.99,0.077,0.015,0.006,1.0,0.44,0.35,0.21
263971.0,25.0,1160.7033457983334,1.0,0.077,0.014,0.003,1.0,0.41,0.36,0.23
548303.0,25.0,1159.747898863889,1.0,0.069,0.024,0.003,1.0,0.41,0.38,0.22
6879.0,25.0,1158.263458585,0.99,0.069,0.02,0.01,1.0,0.47,0.26,0.27
473262.0,25.0,1156.1107777777777,1.0,0.065,0.036,0.003,1.0,0.57,0.24,0.19
861174.0,25.0,1150.2684444444444,0.99,0.082,0.023,0.013,1.0,0.46,0.28,0.26
582015.0,25.0,1153.3820510911112,0.99,0.065,0.028,0.018,1.0,0.42,0.34,0.25
443133.0,25.0,1157.577,0.99,0.073,0.021,0.007,1.0,0.44,0.31,0.24
486742.0,25.0,1156.6017777777777,0.99,0.055,0.042,0.007,1.0,0.46,0.34,0.2
