seed,c,mean_reward,persistence_prob,local_dips_a,local_dips_i,local_dips_s,prod_action,stock_a,stock_i,stock_s
66963.0,2.0,54.386947991666666,0.86,0.267,0.177,0.145,0.56,0.61,0.18,0.22
66963.0,2.0,55.46747543333334,0.86,0.254,0.175,0.149,0.54,0.61,0.17,0.22
66963.0,2.0,54.021876016666674,0.9,0.267,0.158,0.13,0.58,0.6,0.18,0.22
66963.0,2.0,54.144220958333335,0.86,0.269,0.178,0.147,0.56,0.61,0.18,0.22
66963.0,2.0,54.58377021666667,0.82,0.259,0.182,0.151,0.55,0.61,0.17,0.21
66963.0,2.0,54.680830258333344,0.88,0.258,0.167,0.139,0.56,0.6,0.18,0.22
66963.0,2.0,54.1118108,0.86,0.267,0.174,0.146,0.56,0.61,0.17,0.22
66963.0,2.0,53.08648655000001,0.82,0.283,0.193,0.161,0.56,0.6,0.18,0.22
66963.0,2.0,55.74123145000001,0.9,0.246,0.151,0.126,0.56,0.61,0.18,0.21
66963.0,2.0,53.925857733333345,0.84,0.278,0.184,0.152,0.56,0.61,0.18,0.2
66963.0,2.0,53.20903439166666,0.86,0.277,0.18,0.151,0.57,0.6,0.18,0.22
66963.0,2.0,54.09637967500001,0.86,0.269,0.179,0.15,0.56,0.6,0.19,0.21
66963.0,2.0,54.53065525833333,0.86,0.258,0.179,0.146,0.56,0.6,0.19,0.21
66963.0,2.0,53.54538378333333,0.86,0.275,0.184,0.148,0.56,0.6,0.18,0.21
66963.0,2.0,54.929239300000006,0.88,0.255,0.169,0.134,0.56,0.61,0.18,0.21
66963.0,2.0,53.795963558333334,0.84,0.268,0.201,0.162,0.55,0.6,0.19,0.21
66963.0,2.0,55.93591415000001,0.86,0.24,0.174,0.141,0.55,0.61,0.17,0.22
66963.0,2.0,54.08030515833334,0.86,0.269,0.178,0.151,0.56,0.61,0.17,0.22
66963.0,2.0,53.848288533333346,0.84,0.268,0.183,0.154,0.56,0.61,0.18,0.22
66963.0,2.0,55.23068309166667,0.85,0.251,0.179,0.155,0.55,0.6,0.17,0.22
66963.0,2.0,53.502405466666666,0.86,0.267,0.193,0.159,0.56,0.58,0.19,0.23
66963.0,2.0,55.94792290833334,0.9,0.237,0.156,0.124,0.56,0.59,0.18,0.22
66963.0,2.0,54.16082550833334,0.9,0.262,0.165,0.139,0.57,0.6,0.19,0.22
66963.0,2.0,53.91164149166668,0.88,0.268,0.177,0.143,0.57,0.61,0.18,0.21
66963.0,2.0,53.266869983333336,0.8,0.276,0.199,0.166,0.56,0.61,0.18,0.21
66963.0,2.0,53.80833486666666,0.84,0.267,0.184,0.15,0.57,0.59,0.19,0.22
66963.0,2.0,52.57216156666667,0.84,0.28,0.199,0.172,0.57,0.6,0.18,0.22
66963.0,2.0,56.16733201666668,0.9,0.233,0.162,0.131,0.55,0.6,0.18,0.22
66963.0,2.0,51.203530541666666,0.84,0.297,0.195,0.16,0.59,0.59,0.19,0.22
66963.0,2.0,56.24684649166667,0.92,0.233,0.145,0.107,0.57,0.59,0.19,0.22
66963.0,2.0,52.94241046666668,0.88,0.27,0.191,0.153,0.58,0.59,0.19,0.22
66963.0,2.0,56.28625266666668,0.87,0.246,0.15,0.12,0.56,0.62,0.17,0.2
66963.0,2.0,52.137544216666676,0.83,0.296,0.198,0.167,0.57,0.61,0.18,0.2
66963.0,2.0,53.21715844166667,0.86,0.275,0.176,0.14,0.58,0.59,0.19,0.22
66963.0,2.0,52.390832058333345,0.83,0.282,0.208,0.181,0.56,0.6,0.18,0.22
